Time (s),Stress Level (%)
0.566669,45.912975
0.753561,40.055344
0.773742,33.36548
0.969949,38.441418
0.992867,44.46038
1.183142,37.129112
1.205653,45.267365
1.406444,38.745537
1.427069,54.975033
1.630697,38.7428
1.653483,54.74301
1.845193,35.980408
2.020947,39.204815
2.195007,37.92318
2.356404,33.24847
2.382705,45.35453
2.568505,35.555233
2.735117,37.71598
2.918009,39.490417
3.09401,30.323292
3.271269,33.84659
3.441129,26.1694
3.604111,18.142565
3.629412,32.11819
3.823875,12.437778
3.845198,38.33769
4.033539,14.419516
4.053627,37.651398
4.207162,10.277372
4.228439,32.96937
4.380589,41.017406
4.401052,11.283977
4.552431,10.629579
4.575204,30.861134
4.729604,10.402861
4.755132,48.87862
4.90531,17.673965
5.074653,22.616669
5.096817,44.720684
5.250484,44.877426
5.271816,15.256325
5.464097,52.800774
5.485144,20.222715
5.655978,52.822937
5.681499,13.900224
5.863499,18.47455
5.887953,44.490383
6.071274,46.38043
6.250387,16.119043
6.273828,40.867825
6.474057,13.511172
6.496426,43.700886
6.680834,38.220924
6.704263,40.14003
6.893271,39.096794
6.917448,49.195087
7.110973,40.534004
7.135646,50.729614
7.160414,50.228317
7.321409,34.589554
7.509916,32.747833
7.680652,20.9125
7.845001,17.364614
8.023826,13.537423
8.187902,22.04192
8.368161,20.104273
8.535167,14.992328
8.712252,55.23403
8.736883,10.105122
8.930055,16.154799
9.096888,19.877083
9.276732,24.14977
9.453396,20.575636
9.611685,19.390198
9.927478,38.429695
